,Provider ID,OP_10,OP_11,OP_13,OP_14,OP_8
481,60031,4.9,0.5,3.6,1.9,0.0
482,60032,5.9,0.2,1.8,0.0,34.0
483,60034,7.8,0.7,0.0,4.4,0.0
484,60036,4.9,0.0,0.0,0.5,0.0
485,60044,8.1,4.7,0.0,7.4,0.0
486,60049,6.7,0.0,6.2,0.0,0.0
487,60054,19.5,3.3,3.8,0.0,0.0
488,60064,26.1,2.7,5.6,0.0,0.0
489,60065,1.5,0.0,3.3,0.0,0.0
490,60071,11.5,0.8,4.8,0.0,40.9
491,60075,12.6,0.3,3.8,0.0,57.8
492,60076,15.5,11.2,1.3,0.0,0.0
493,60096,8.1,0.0,3.8,0.0,0.0
494,60100,4.3,2.2,3.8,2.4,41.9
495,60103,9.8,2.3,7.1,0.0,0.0
496,60104,3.1,1.0,1.7,0.0,0.0
497,60107,10.3,0.0,15.8,0.0,0.0
498,60112,4.4,0.0,3.7,4.8,39.1
499,60113,6.2,1.1,4.7,5.1,0.0
500,60114,6.0,1.0,5.3,0.0,0.0
501,60116,10.2,0.0,0.0,0.0,0.0
502,60117,23.8,0.0,0.0,0.0,0.0
503,60118,5.2,2.6,0.0,0.0,0.0
504,60119,5.2,0.5,6.0,2.0,42.0
505,60125,3.1,0.0,4.1,0.0,0.0
506,61301,8.7,0.7,0.0,0.0,0.0
507,61303,16.2,17.6,0.0,0.0,0.0
508,61305,33.3,2.1,0.0,0.0,0.0
509,61312,8.8,5.6,2.2,0.0,0.0
510,61313,6.3,4.3,0.0,0.0,0.0
511,61314,4.3,0.0,0.0,0.0,0.0
512,61315,4.1,6.2,0.0,0.0,0.0
513,61316,13.3,7.6,0.0,0.0,0.0
514,61320,13.0,6.2,0.0,0.0,0.0
515,61324,9.0,0.4,3.9,0.0,0.0
516,61325,0.0,0.0,0.0,0.0,0.0
517,61327,3.0,0.5,5.0,0.4,0.0
518,70002,1.7,0.3,4.1,4.5,26.1
519,70003,4.2,0.0,2.3,0.0,35.6
520,70004,9.3,0.7,3.6,0.0,0.0
521,70005,2.0,0.1,5.7,5.7,0.0
522,70006,2.3,0.1,5.5,5.4,34.8
523,70007,4.4,0.0,4.8,2.1,38.9
524,70008,1.9,0.0,4.2,0.0,0.0
525,70010,17.6,5.7,5.4,1.8,0.0
526,70011,6.7,1.3,3.2,1.5,0.0
527,70012,4.3,0.2,3.5,0.0,41.7
528,70016,1.2,0.0,6.1,2.8,0.0
529,70017,1.1,0.0,2.1,2.1,28.4
530,70018,6.7,1.0,8.4,1.7,46.3
531,70019,4.0,0.0,2.9,0.0,0.0
532,70020,4.0,0.1,0.0,0.8,33.8
533,70021,4.1,3.8,4.5,2.0,31.0
534,70022,4.4,0.1,4.7,2.3,44.7
535,70024,2.0,0.0,5.4,1.5,33.5
536,70025,3.1,0.8,4.5,2.4,0.0
537,70027,2.1,0.0,4.6,1.3,0.0
538,70028,20.8,0.2,6.2,4.0,0.0
539,70029,1.8,0.5,3.8,0.6,0.0
540,70031,2.7,0.5,0.0,0.0,29.0
541,70033,4.9,0.1,5.1,2.6,25.5
542,70034,8.9,0.4,2.2,3.4,31.8
543,70035,6.2,0.1,6.2,1.8,27.5
544,70036,2.8,0.0,2.1,1.7,39.0
545,80001,4.1,0.4,4.9,0.2,33.7
546,80003,2.2,0.0,0.0,4.4,0.0
547,80004,4.3,0.1,4.8,3.7,34.4
548,80006,4.6,0.0,4.3,4.7,0.0
549,80007,5.2,1.3,4.6,3.2,35.6
550,80009,3.6,0.1,2.5,4.8,29.6
551,90001,5.3,0.3,1.3,6.5,47.3
552,90003,11.3,8.8,0.0,8.4,51.5
553,90004,2.1,0.3,11.8,0.0,36.4
