,Provider ID,MORT_30_AMI,MORT_30_CABG,MORT_30_COPD,MORT_30_HF,MORT_30_PN,MORT_30_STK
1945,210043,0.0,0.0,0.0,0.0,0.0,0.0
1946,210044,0.0,0.0,0.0,0.0,0.0,0.0
1947,210045,0.0,0.0,0.0,0.0,0.0,0.0
1948,210048,0.0,0.0,0.0,0.0,0.0,0.0
1949,210049,0.0,0.0,0.0,0.0,0.0,0.0
1950,210051,0.0,0.0,0.0,0.0,0.0,0.0
1951,210055,0.0,0.0,0.0,0.0,0.0,0.0
1952,210056,0.0,0.0,0.0,0.0,0.0,0.0
1953,210057,0.0,0.0,0.0,0.0,0.0,0.0
1954,210058,0.0,0.0,0.0,0.0,0.0,0.0
1955,210060,0.0,0.0,0.0,0.0,0.0,0.0
1956,210061,0.0,0.0,0.0,0.0,0.0,0.0
1957,210062,0.0,0.0,0.0,0.0,0.0,0.0
1958,210063,0.0,0.0,0.0,0.0,0.0,0.0
1959,210064,0.0,0.0,0.0,0.0,0.0,0.0
1960,210065,0.0,0.0,0.0,0.0,0.0,0.0
1961,213300,0.0,0.0,0.0,0.0,0.0,0.0
1962,213301,0.0,0.0,0.0,0.0,0.0,0.0
1963,220001,13.2,0.0,8.3,11.8,13.7,13.6
1964,220002,11.8,2.3,6.8,12.2,13.0,13.4
1965,220008,15.7,0.0,7.3,13.2,17.4,14.3
1966,220010,13.9,0.0,5.8,10.5,15.7,13.1
1967,220011,13.6,0.0,6.2,10.3,14.1,12.4
1968,220012,13.1,2.5,8.1,12.6,14.1,13.7
1969,220015,13.3,0.0,8.1,11.7,14.5,14.1
1970,220016,14.4,0.0,7.7,12.5,12.0,17.1
1971,220017,0.0,0.0,6.2,10.5,14.4,14.5
1972,220019,14.3,0.0,9.0,12.1,19.1,15.0
1973,220020,11.8,0.0,6.2,9.9,15.3,13.8
1974,220024,13.0,0.0,7.9,13.4,17.1,15.0
1975,220029,13.8,0.0,7.1,11.7,15.5,12.9
1976,220030,14.9,0.0,6.6,10.3,13.2,14.6
1977,220031,14.6,3.3,6.9,7.5,13.8,14.7
1978,220033,12.6,0.0,6.4,9.4,13.5,15.1
1979,220035,12.7,2.7,6.7,10.1,13.3,11.8
1980,220036,12.6,3.1,6.8,9.7,14.2,15.7
1981,220046,14.9,0.0,7.5,12.8,15.4,13.1
1982,220049,13.7,0.0,7.4,11.6,13.5,16.1
1983,220050,14.3,0.0,6.2,11.2,14.8,17.0
1984,220052,16.3,0.0,5.8,8.9,15.0,15.8
1985,220058,0.0,0.0,7.7,11.4,13.4,0.0
1986,220060,14.3,0.0,6.7,10.1,17.3,13.5
1987,220062,0.0,0.0,0.0,0.0,0.0,0.0
1988,220063,13.6,0.0,5.8,11.6,16.9,13.0
1989,220065,0.0,0.0,8.0,12.1,14.6,15.4
1990,220066,13.4,0.0,9.2,12.1,19.1,16.4
1991,220070,12.4,0.0,7.8,10.8,15.4,11.2
1992,220071,14.0,3.2,6.3,9.5,12.9,15.3
1993,220073,13.5,0.0,7.3,13.6,15.9,13.2
1994,220074,11.9,1.8,6.1,9.5,14.9,12.6
1995,220075,0.0,0.0,0.0,0.0,0.0,0.0
1996,220077,12.3,2.6,6.8,10.0,14.4,14.6
1997,220080,15.0,0.0,6.4,10.6,14.8,14.8
1998,220083,14.3,0.0,7.1,11.3,13.9,13.9
1999,220084,12.7,0.0,7.9,12.1,13.7,13.1
2000,220086,12.6,3.2,7.4,8.9,14.2,15.6
2001,220088,0.0,0.0,0.0,11.2,13.9,0.0
2002,220090,12.6,0.0,5.7,11.5,12.3,15.2
2003,220095,13.2,0.0,8.1,12.4,16.9,14.3
2004,220098,14.2,0.0,7.3,12.1,15.5,15.1
2005,220100,12.6,0.0,6.7,10.9,15.5,14.7
2006,220101,13.2,0.0,7.0,10.4,11.5,12.0
2007,220105,13.2,0.0,6.1,9.0,12.5,12.9
2008,220108,13.3,0.0,5.9,10.8,12.4,13.1
2009,220110,13.6,2.6,6.8,10.4,12.8,13.9
2010,220111,13.4,0.0,6.5,10.4,15.0,12.7
2011,220116,13.0,2.6,8.2,10.9,13.6,14.8
2012,220119,13.1,0.0,5.9,10.0,14.3,12.0
2013,220126,15.7,0.0,6.7,11.3,15.3,13.8
2014,220135,11.7,0.0,6.2,9.4,12.0,10.9
2015,220163,12.8,2.0,8.2,10.3,15.2,13.4
2016,220171,12.1,2.5,6.4,9.7,13.4,13.0
2017,220175,13.2,0.0,8.6,9.3,15.0,14.6
2018,220176,14.8,4.2,6.1,11.4,13.8,14.7
2019,220177,0.0,0.0,0.0,0.0,14.6,0.0
2020,221300,0.0,0.0,7.4,12.0,13.3,14.4
2021,221302,0.0,0.0,8.1,12.4,16.2,0.0
2022,221303,0.0,0.0,8.2,14.9,14.9,0.0
2023,223300,0.0,0.0,0.0,0.0,0.0,0.0
2024,223302,0.0,0.0,0.0,0.0,0.0,0.0
2025,223303,0.0,0.0,0.0,0.0,0.0,0.0
2026,223304,0.0,0.0,0.0,0.0,0.0,0.0
2027,230002,11.7,0.0,6.9,10.4,16.6,15.6
2028,230003,0.0,0.0,7.5,10.9,15.7,14.1
2029,230005,14.9,0.0,6.7,13.1,19.0,15.9
2030,230013,0.0,0.0,8.1,0.0,16.2,0.0
2031,230015,0.0,0.0,9.2,11.9,18.1,13.9
2032,230017,15.9,2.9,9.5,14.5,16.4,16.7
2033,230019,12.3,1.7,5.4,9.5,13.5,11.9
2034,230020,12.9,2.9,5.3,11.0,14.0,14.5
2035,230021,15.6,3.6,8.2,15.0,18.5,14.3
2036,230022,15.9,0.0,7.6,11.5,15.1,13.6
2037,230024,11.6,3.7,7.1,9.6,13.2,11.6
2038,230029,12.9,3.7,7.0,11.1,15.0,16.6
2039,230030,14.8,0.0,7.5,11.0,20.2,14.9
2040,230031,13.9,0.0,7.4,12.7,18.0,14.8
2041,230035,0.0,0.0,8.2,10.7,13.0,14.8
2042,230036,14.3,0.0,8.6,11.2,13.6,16.6
2043,230037,14.4,0.0,8.2,12.9,17.3,16.3
2044,230038,13.4,1.5,9.0,13.7,14.4,14.4
2045,230040,0.0,0.0,6.4,13.7,12.1,14.5
2046,230041,15.4,2.7,7.2,11.3,17.7,13.4
2047,230046,12.9,2.2,7.8,11.1,13.2,16.1
2048,230047,11.7,2.8,6.1,11.5,15.5,13.5
2049,230053,12.0,2.4,7.1,10.6,16.2,12.8
2050,230054,14.1,2.8,8.1,15.4,15.3,16.5
2051,230055,13.8,0.0,8.4,10.2,14.4,17.1
2052,230058,13.0,0.0,7.8,11.5,18.0,12.7
2053,230059,13.8,0.0,7.4,10.7,14.7,16.6
2054,230066,0.0,0.0,9.1,12.8,14.8,16.2
2055,230069,13.5,0.0,8.5,10.9,13.9,13.7
2056,230070,12.8,4.3,8.0,11.7,16.2,13.5
2057,230071,0.0,0.0,0.0,0.0,0.0,0.0
2058,230072,13.3,0.0,9.0,11.4,13.1,12.8
2059,230075,16.0,0.0,7.2,11.4,16.9,13.8
2060,230077,15.2,3.9,7.0,12.5,17.1,15.3
2061,230078,0.0,0.0,8.0,12.3,15.9,0.0
2062,230080,14.5,0.0,6.6,12.1,14.6,15.8
2063,230081,12.9,0.0,7.4,11.4,15.9,14.4
2064,230085,0.0,0.0,7.5,11.9,15.0,0.0
2065,230089,11.8,0.0,7.5,9.7,12.5,12.3
2066,230092,14.1,4.6,6.3,11.3,16.2,13.1
2067,230093,0.0,0.0,8.1,12.0,16.2,15.4
2068,230095,14.8,0.0,6.5,14.0,13.4,0.0
2069,230096,0.0,0.0,6.6,12.2,22.1,0.0
2070,230097,11.8,2.4,9.5,10.6,17.7,14.6
2071,230099,11.7,0.0,7.2,11.2,14.7,12.2
2072,230100,0.0,0.0,9.3,13.0,17.6,0.0
2073,230104,12.8,4.2,5.6,8.2,12.1,13.2
2074,230105,13.5,2.9,8.6,11.3,15.7,14.8
2075,230108,15.7,0.0,7.2,14.0,23.0,14.8
2076,230110,0.0,0.0,7.0,13.4,16.1,16.1
2077,230117,16.4,3.3,10.0,13.6,18.0,18.4
2078,230118,13.9,0.0,7.2,12.2,13.7,14.4
2079,230121,15.7,0.0,13.2,14.2,20.9,14.4
2080,230130,11.6,3.4,6.9,8.5,12.8,11.7
2081,230132,17.0,0.0,7.8,10.7,14.5,15.9
2082,230133,14.2,0.0,9.0,13.4,17.8,16.5
2083,230141,15.8,3.2,7.3,9.5,17.2,14.5
2084,230142,14.0,0.0,9.3,11.9,14.7,15.3
2085,230144,0.0,0.0,0.0,0.0,0.0,0.0
2086,230146,13.5,0.0,7.0,11.3,14.3,11.1
2087,230151,14.2,0.0,7.9,11.3,14.9,13.6
2088,230156,11.5,2.6,6.7,10.6,13.9,12.9
2089,230165,16.4,4.0,10.0,10.8,17.1,14.0
2090,230167,15.1,2.6,10.3,13.8,19.5,13.6
2091,230174,0.0,0.0,8.7,13.9,18.2,15.5
2092,230176,13.5,0.0,7.2,9.9,14.6,15.6
2093,230180,0.0,0.0,7.3,14.3,18.7,15.1
2094,230193,11.8,0.0,7.2,9.6,15.4,17.1
2095,230195,14.3,3.5,9.0,11.3,16.4,15.3
2096,230197,12.7,4.5,6.4,11.4,15.0,14.2
2097,230207,13.5,0.0,9.4,9.8,17.2,17.6
2098,230208,0.0,0.0,7.3,13.0,15.8,15.9
2099,230216,15.3,3.4,8.5,14.3,18.5,17.6
2100,230217,13.3,0.0,8.3,12.7,12.7,13.6
2101,230222,12.6,3.4,10.3,11.7,17.1,14.6
2102,230227,14.3,2.5,8.0,11.4,14.5,17.9
2103,230230,15.4,4.6,9.6,14.5,19.1,17.0
2104,230236,15.4,0.0,7.7,10.9,15.8,14.3
2105,230239,14.1,0.0,8.5,14.2,15.3,16.2
2106,230241,13.9,0.0,7.0,14.1,16.0,15.3
2107,230244,15.9,0.0,8.1,10.2,15.6,14.9
2108,230254,12.3,2.9,7.6,12.4,16.4,15.5
2109,230259,0.0,0.0,7.5,12.3,16.6,13.3
2110,230264,0.0,0.0,0.0,0.0,0.0,0.0
2111,230269,10.4,2.7,7.5,10.8,13.1,12.7
2112,230270,13.6,0.0,8.2,11.5,14.5,13.5
2113,230273,12.9,0.0,7.7,9.9,16.2,14.6
2114,230275,0.0,0.0,0.0,0.0,0.0,0.0
2115,230277,12.0,0.0,8.8,11.8,15.2,13.1
2116,230279,0.0,0.0,0.0,0.0,0.0,0.0
2117,230297,0.0,0.0,0.0,0.0,14.0,0.0
2118,230301,0.0,0.0,0.0,0.0,0.0,0.0
2119,230302,13.2,0.0,8.1,11.8,15.3,13.3
2120,230303,0.0,0.0,8.4,12.3,15.4,16.7
2121,231300,0.0,0.0,0.0,0.0,0.0,0.0
2122,231301,0.0,0.0,0.0,0.0,0.0,0.0
2123,231303,0.0,0.0,7.4,14.0,15.0,0.0
2124,231304,0.0,0.0,7.9,14.2,17.8,0.0
2125,231305,14.0,0.0,7.4,11.2,15.4,0.0
2126,231306,0.0,0.0,0.0,0.0,16.0,0.0
2127,231307,0.0,0.0,7.4,11.4,18.2,0.0
2128,231308,0.0,0.0,0.0,0.0,17.2,0.0
2129,231309,0.0,0.0,0.0,0.0,15.8,0.0
2130,231310,0.0,0.0,8.1,0.0,14.0,0.0
2131,231311,0.0,0.0,0.0,0.0,0.0,0.0
2132,231312,0.0,0.0,7.8,0.0,14.5,0.0
2133,231313,0.0,0.0,0.0,0.0,0.0,0.0
2134,231314,0.0,0.0,0.0,12.3,19.2,0.0
2135,231315,0.0,0.0,7.7,11.4,15.9,0.0
2136,231316,0.0,0.0,8.4,11.5,16.8,0.0
2137,231317,0.0,0.0,9.0,12.5,16.0,0.0
2138,231318,15.7,0.0,7.5,13.8,15.0,15.9
2139,231319,13.6,0.0,7.3,14.2,17.3,16.5
2140,231320,0.0,0.0,0.0,13.7,17.6,0.0
2141,231321,0.0,0.0,8.0,12.8,17.7,0.0
2142,231322,0.0,0.0,8.9,15.3,16.8,0.0
2143,231323,0.0,0.0,8.1,12.5,19.4,17.8
2144,231324,0.0,0.0,8.1,12.8,15.5,0.0
2145,231325,0.0,0.0,7.0,11.9,15.6,0.0
2146,231326,0.0,0.0,8.0,14.2,14.0,0.0
2147,231327,0.0,0.0,7.7,12.1,14.5,0.0
2148,231328,0.0,0.0,8.3,12.3,15.0,0.0
2149,231329,0.0,0.0,0.0,0.0,17.4,0.0
2150,231330,0.0,0.0,7.3,12.5,15.3,0.0
2151,231331,0.0,0.0,7.5,12.5,15.0,0.0
2152,231332,0.0,0.0,8.6,12.2,16.8,0.0
2153,231333,0.0,0.0,8.3,14.7,18.9,13.3
2154,231334,0.0,0.0,8.5,12.4,15.5,15.5
2155,231337,14.5,0.0,6.7,15.3,17.7,14.1
2156,231338,0.0,0.0,7.8,0.0,15.6,0.0
2157,233300,0.0,0.0,0.0,0.0,0.0,0.0
2158,240001,13.8,3.1,7.4,11.6,16.6,16.3
2159,240002,13.2,3.5,8.3,14.5,14.7,16.8
2160,240004,13.1,0.0,7.0,10.1,14.0,16.4
2161,240006,0.0,0.0,0.0,0.0,17.2,0.0
2162,240010,11.6,1.7,7.5,9.4,12.3,16.3
2163,240014,0.0,0.0,7.7,13.2,14.2,0.0
2164,240018,0.0,0.0,7.6,11.8,18.7,15.5
2165,240019,0.0,0.0,0.0,0.0,16.2,0.0
2166,240020,0.0,0.0,8.1,10.5,16.0,0.0
2167,240022,0.0,0.0,7.6,11.0,14.1,0.0
2168,240030,0.0,0.0,8.6,13.3,14.2,0.0
2169,240036,12.7,3.0,8.3,10.7,16.3,11.3
2170,240038,12.8,3.3,7.7,13.1,14.5,15.6
2171,240040,0.0,0.0,7.4,12.9,19.8,14.0
2172,240043,15.9,0.0,8.1,11.7,16.0,13.7
2173,240044,13.5,0.0,8.0,11.7,13.2,14.1
2174,240047,12.9,2.8,9.1,12.2,15.2,14.2
2175,240050,0.0,0.0,8.0,11.2,14.1,14.4
2176,240052,14.2,0.0,8.6,11.5,17.8,16.0
2177,240053,12.6,3.1,8.8,11.4,13.0,14.9
2178,240056,13.5,0.0,7.7,13.3,16.5,13.5
2179,240057,13.8,2.6,8.6,12.0,14.6,13.1
2180,240059,0.0,0.0,8.1,14.8,15.4,0.0
2181,240063,13.3,3.0,8.5,11.4,14.0,16.3
2182,240064,0.0,0.0,9.6,13.0,17.8,15.8
2183,240066,0.0,0.0,7.5,12.7,15.0,14.7
2184,240069,14.1,0.0,7.2,12.7,17.2,0.0
2185,240071,0.0,0.0,7.6,11.2,15.6,0.0
2186,240075,11.7,0.0,8.2,13.2,16.7,13.2
2187,240076,0.0,0.0,8.2,11.3,16.0,0.0
2188,240078,11.5,3.6,8.0,11.7,16.3,16.8
2189,240080,14.3,3.2,9.2,10.0,15.5,13.4
2190,240084,0.0,0.0,8.4,11.7,15.3,14.5
2191,240088,0.0,0.0,7.7,12.6,13.7,16.8
2192,240093,12.7,0.0,7.7,10.6,18.0,12.7
2193,240100,14.2,0.0,9.1,11.3,15.3,17.3
2194,240101,0.0,0.0,8.5,11.1,15.1,0.0
2195,240104,0.0,0.0,8.0,13.3,13.9,14.4
2196,240106,16.3,3.7,7.9,13.0,19.0,16.7
2197,240115,13.2,3.9,6.6,10.7,14.8,15.6
2198,240132,13.3,0.0,6.5,12.4,14.5,14.6
2199,240141,0.0,0.0,8.2,12.0,15.1,0.0
2200,240166,13.5,0.0,7.9,12.4,17.3,0.0
2201,240187,0.0,0.0,7.8,11.7,12.8,0.0
2202,240196,0.0,0.0,0.0,0.0,0.0,0.0
2203,240206,0.0,0.0,0.0,0.0,0.0,0.0
2204,240207,15.0,0.0,9.7,12.2,17.1,13.5
2205,240210,13.7,0.0,7.4,10.9,15.3,13.3
2206,240213,13.9,0.0,8.5,10.5,15.8,13.5
2207,240214,0.0,0.0,8.3,10.5,14.1,0.0
2208,241300,0.0,0.0,0.0,0.0,0.0,0.0
2209,241301,0.0,0.0,0.0,13.5,0.0,0.0
2210,241302,0.0,0.0,0.0,0.0,0.0,0.0
2211,241303,0.0,0.0,0.0,12.1,17.3,0.0
2212,241304,0.0,0.0,0.0,0.0,0.0,0.0
2213,241305,0.0,0.0,8.7,12.0,14.3,0.0
2214,241306,0.0,0.0,0.0,11.7,16.1,0.0
2215,241308,0.0,0.0,0.0,0.0,17.5,0.0
2216,241309,0.0,0.0,0.0,0.0,0.0,0.0
2217,241311,0.0,0.0,0.0,0.0,0.0,0.0
2218,241312,0.0,0.0,0.0,0.0,14.4,0.0
2219,241313,0.0,0.0,0.0,0.0,0.0,0.0
2220,241314,0.0,0.0,0.0,0.0,0.0,0.0
2221,241315,0.0,0.0,0.0,0.0,18.4,0.0
2222,241316,0.0,0.0,0.0,0.0,0.0,0.0
2223,241317,0.0,0.0,0.0,0.0,0.0,0.0
2224,241318,0.0,0.0,0.0,0.0,0.0,0.0
2225,241319,0.0,0.0,0.0,0.0,15.8,0.0
2226,241320,0.0,0.0,0.0,11.5,16.7,0.0
2227,241321,0.0,0.0,0.0,0.0,0.0,0.0
2228,241322,0.0,0.0,0.0,11.8,0.0,0.0
2229,241323,0.0,0.0,0.0,0.0,0.0,0.0
2230,241325,0.0,0.0,7.9,13.1,16.9,0.0
2231,241326,0.0,0.0,0.0,0.0,16.0,0.0
2232,241327,0.0,0.0,0.0,13.0,13.7,0.0
2233,241328,0.0,0.0,0.0,0.0,0.0,0.0
2234,241329,0.0,0.0,0.0,0.0,15.1,0.0
2235,241330,0.0,0.0,0.0,11.8,15.4,0.0
2236,241332,0.0,0.0,0.0,0.0,16.2,0.0
2237,241333,0.0,0.0,0.0,0.0,0.0,0.0
2238,241334,0.0,0.0,0.0,0.0,15.3,0.0
2239,241335,0.0,0.0,0.0,0.0,0.0,0.0
2240,241336,0.0,0.0,0.0,0.0,0.0,0.0
2241,241337,0.0,0.0,0.0,0.0,0.0,0.0
2242,241338,0.0,0.0,0.0,0.0,0.0,0.0
2243,241339,0.0,0.0,0.0,0.0,0.0,0.0
2244,241340,0.0,0.0,0.0,0.0,15.9,0.0
2245,241341,0.0,0.0,0.0,0.0,0.0,0.0
2246,241342,0.0,0.0,0.0,0.0,16.2,0.0
2247,241343,0.0,0.0,7.8,11.5,14.7,0.0
2248,241344,0.0,0.0,0.0,0.0,14.9,0.0
2249,241345,0.0,0.0,0.0,0.0,0.0,0.0
2250,241346,0.0,0.0,0.0,0.0,15.4,0.0
2251,241347,0.0,0.0,0.0,0.0,15.5,0.0
2252,241348,0.0,0.0,0.0,0.0,0.0,0.0
2253,241349,0.0,0.0,0.0,0.0,15.5,0.0
2254,241350,0.0,0.0,0.0,0.0,17.7,0.0
