,Provider ID,HAI_1_SIR,HAI_2_SIR,HAI_3_SIR,HAI_4_SIR,HAI_5_SIR,HAI_6_SIR,COMP_HIP_KNEE,PSI
133,30083,0.24,0.524,0.0,0.0,0.0,1.473,2.8,9.98
134,30084,0.0,0.687,0.0,0.0,0.0,0.868,0.0,7.96
135,30085,0.521,0.628,1.088,1.143,1.1640000000000001,1.064,2.2,135.63000000000002
136,30087,0.862,0.517,0.74,0.625,0.858,1.247,2.4,183.72000000000003
137,30088,0.425,0.162,0.893,0.51,0.82,0.772,3.2,121.1
138,30089,0.667,0.34600000000000003,1.743,1.111,0.688,0.6709999999999999,3.1,150.71
139,30092,1.3219999999999998,1.119,2.56,0.85,1.785,1.49,2.7,167.43000000000004
140,30093,0.40700000000000003,0.18600000000000003,0.496,0.0,1.544,0.6509999999999999,2.7,136.20999999999998
141,30094,0.635,0.159,1.252,1.042,1.472,0.965,2.6,158.22000000000003
142,30101,0.0,0.239,2.089,0.0,0.0,0.589,3.0,169.38
143,30103,0.536,0.547,1.268,0.778,1.432,0.802,2.7,90.33000000000001
144,30105,0.212,0.529,0.0,0.0,0.0,0.518,0.0,147.92999999999998
145,30107,0.0,0.0,0.0,0.0,0.0,0.0,3.3,7.03
146,30108,0.0,0.0,0.0,0.0,0.0,0.0,3.2,6.53
147,30110,0.19899999999999998,0.077,0.0,0.0,0.524,1.29,0.0,156.11
148,30111,0.14300000000000002,0.281,3.7310000000000003,0.0,1.008,0.6509999999999999,0.0,155.57999999999998
149,30112,0.0,0.0,0.0,0.0,0.0,0.0,3.6,7.760000000000001
150,30113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23
151,30114,0.0,0.22899999999999998,0.556,0.0,0.0,1.124,2.7,165.55
152,30115,0.675,0.0,1.034,0.0,0.32799999999999996,0.37,2.6,148.13
153,30117,0.0,0.0,0.0,0.0,0.0,0.0,3.4,22.3
154,30118,0.0,0.0,0.0,0.0,0.0,0.8009999999999999,2.7,18.57
155,30119,0.087,0.18,1.9569999999999999,0.7020000000000001,1.416,0.8759999999999999,2.9,123.65
156,30120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.62
157,30121,0.0,0.182,1.911,0.0,0.0,1.006,2.9,190.91000000000003
158,30122,0.21100000000000002,0.843,1.193,0.27399999999999997,2.437,1.297,4.0,137.44
159,30123,0.345,0.467,2.174,0.0,0.0,0.875,2.3,143.89
160,30130,0.0,0.0,1.932,0.0,0.0,0.5329999999999999,3.6,11.51
161,30131,0.0,0.0,0.0,0.0,0.0,0.515,3.0,14.719999999999999
